year,state_name,state_fips_code,unit_desc,sector_desc,class_desc,commodity_desc,short_desc,statisticcat_desc,Value
2022,ALASKA,02,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,191.0
2022,ARIZONA,04,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,268984.0
2022,CALIFORNIA,06,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,521200.0
2022,COLORADO,08,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,1077331.0
2022,CONNECTICUT,09,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,444.0
2022,DELAWARE,10,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,0.0
2022,HAWAII,15,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,0.0
2022,IDAHO,16,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,336862.0
2022,ILLINOIS,17,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,222250.0
2022,INDIANA,18,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,92249.0
2022,IOWA,19,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,1378537.0
2022,KANSAS,20,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,2552505.0
2022,KENTUCKY,21,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,24441.0
2022,MAINE,23,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,4586.0
2022,MARYLAND,24,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,6473.0
2022,MASSACHUSETTS,25,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,2191.0
2022,MICHIGAN,26,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,156205.0
2022,MINNESOTA,27,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,520056.0
2022,MISSOURI,29,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,103990.0
2022,MONTANA,30,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,37906.0
2022,NEBRASKA,31,HEAD,ANIMALS & PRODUCTS,ALL CLASSES,CATTLE,"CATTLE, ON FEED - INVENTORY",INVENTORY,2962266.0
